0;HOPOPT;IPv6 Hop-by-Hop Option, [RFC1883]
1;ICMP;Internet Control Message, [RFC792]
2;IGMP;Internet Group Management, [RFC1112]
3;GGP;Gateway-to-Gateway, [RFC823]
4;IP;IP in IP (encapsulation), [RFC2003]
5;ST;Stream, [RFC1190,RFC1819]
6;TCP;Transmission Control, [RFC793]
7;CBT;CBT, [Ballardie]
8;EGP;Exterior Gateway Protocol, [RFC888,DLM1]
9;IGP;any private interior gateway, [IANA]
10;BBN-RCC-MON;BBN RCC Monitoring, [SGC]
11;NVP-II;Network Voice Protocol, [RFC741,SC3]
12;PUP;PUP, [PUP,XEROX]
13;ARGUS;ARGUS, [RWS4]
14;EMCON;EMCON, [BN7]
15;XNET;Cross Net Debugger, [IEN158,JFH2]
16;CHAOS;Chaos, [NC3]
17;UDP;User Datagram, [RFC768,JBP]
18;MUX;Multiplexing, [IEN90,JBP]
19;DCN-MEAS;DCN Measurement Subsystems, [DLM1]
20;HMP;Host Monitoring, [RFC869,RH6]
21;PRM;Packet Radio Measurement, [ZSU]
22;XNS-IDP;XEROX NS IDP, [ETHERNET,XEROX]
23;TRUNK-1;Trunk-1, [BWB6]
24;TRUNK-2;Trunk-2, [BWB6]
25;LEAF-1;Leaf-1, [BWB6]
26;LEAF-2;Leaf-2, [BWB6]
27;RDP;Reliable Data Protocol, [RFC908,RH6]
28;IRTP;Internet Reliable Transaction, [RFC938,TXM]
29;ISO-TP4;ISO Transport Protocol Class 4, [RFC905,RC77]
30;NETBLT;Bulk Data Transfer Protocol, [RFC969,DDC1]
31;MFE-NSP;MFE Network Services Protocol, [MFENET,BCH2]
32;MERIT-INP;MERIT Internodal Protocol, [HWB]
33;SEP;Sequential Exchange Protocol, [JC120]
34;3PC;Third Party Connect Protocol, [SAF3]
35;IDPR;Inter-Domain Policy Routiing Protocol, [MXS1]
36;XTP;XTP, [GXC]
37;DDP;Datagram Delivery Protocol, [WXC]
38;IDPR-CMTP;IDPR Control Message Transport Protocol, [MXS1]
39;TP++;TP++ Transport Protocol, [DXF]
40;IL;IL Transport Protocol, [Presotto]
41;IPv6;Ipv6, [Deering]
